날짜,SCFI지수
03-Jan-25,2505.17
10-Jan-25,2290.68
17-Jan-25,2130.81
24-Jan-25,2045.45
07-Feb-25,1896.65
14-Feb-25,1758.82
21-Feb-25,1595.08
28-Feb-25,1515.29
07-Mar-25,1436.30
13-Mar-25,1319.34
21-Mar-25,1292.75
28-Mar-25,1356.88
03-Apr-25,1392.78
11-Apr-25,1394.68
18-Apr-25,1370.58
25-Apr-25,1347.84
30-Apr-25,1340.93
09-May-25,1345.17
16-May-25,1479.39
23-May-25,1586.12
30-May-25,2072.71
06-Jun-25,2240.35
13-Jun-25,2088.24
20-Jun-25,1869.59
27-Jun-25,1861.51
04-Jul-25,1763.49
11-Jul-25,1733.29
18-Jul-25,1646.9
25-Jul-25,1592.59
01-Aug-25,1550.74
08-Aug-25,1489.68
15-Aug-25,1460.19
22-Aug-25,1415.36
29-Aug-25,1445.06
05-Sep-25,1444.44
12-Sep-25,1398.11
19-Sep-25,1198.21
26-Sep-25,1114.52
10-Oct-25,1160.42
17-Oct-25,1310.32
24-Oct-25,1403.46
31-Oct-25,1550.7
07-Nov-25,1495.1
14-Nov-25,1451.38
21-Nov-25,1393.56
28-Nov-25,1403.13
05-Dec-25,1397.63
12-Dec-25,1506.46
19-Dec-25,1552.92
26-Dec-25,1656.32
09-Jan-26,1647.39
16-Jan-26,1574.12
